,audiAcc,audiChange,audiCnt,audiInten,movieCd,movieNm,openDt,rank,rankInten,rankOldAndNew,rnum,salesAcc,salesAmt,salesChange,salesInten,salesShare,scrnCnt,showCnt,targetDt
0,,,,,,,,,,,,,,,,,,,
1,2734022,-18.8,129149,-29903,20175771,라이온 킹,2019-07-17,2,-1,OLD,2,24462341160,1079731330,-19.1,-255010870,27.8,1151,4982,20190724
2,11157367,-13.4,64372,-9945,20183867,알라딘,2019-05-23,3,-1,OLD,3,95129420159,519767420,-12.8,-76276350,13.4,700,2268,20190724
3,58712,5029.3,54935,53864,20192725,명탐정 코난: 감청의 권,2019-07-24,4,12,OLD,4,451857280,415329480,4207.1,405686480,10.7,591,1506,20190724
4,7640035,-29.4,35868,-14960,20196309,스파이더맨: 파 프롬 홈,2019-07-02,5,-2,OLD,5,65775730270,289773820,-29.2,-119548900,7.5,587,1776,20190724
5,54719,100,16316,16316,20190002,롱 샷,2019-07-24,6,0,NEW,6,480861180,135980460,100,135980460,3.5,443,1235,20190724
6,12317,100,5733,5733,20184621,엑시트,2019-07-31,7,0,NEW,7,99528000,47666000,100,47666000,1.2,23,23,20190724
7,3317626,-61.2,4980,-7866,20184047,토이 스토리 4,2019-06-20,8,-4,OLD,8,28089742080,37835530,-62.7,-63702910,1.0,130,182,20190724
8,10030,4832.1,3847,3769,20191845,난폭한 기록,2019-07-11,9,49,OLD,9,71820090,19272000,3033.7,18657000,0.5,19,23,20190724
9,10020769,-67,2865,-5810,20183782,기생충,2019-05-30,10,-5,OLD,10,85334700825,23193780,-66.5,-46077620,0.6,78,118,20190724
10,6974157,-24.2,76856,-24538,20196309,스파이더맨: 파 프롬 홈,2019-07-02,2,-1,OLD,2,60113987480,617568170,-27.5,-234051290,14.8,873,3428,20190717
11,10382207,-33.1,56320,-27842,20183867,알라딘,2019-05-23,3,-1,OLD,3,88513180979,457442320,-33.4,-229401550,11.0,647,2022,20190717
12,3202956,-53,10041,-11338,20184047,토이 스토리 4,2019-06-20,4,-1,OLD,4,27138139180,78475700,-54,-91969410,1.9,325,542,20190717
13,9552,4184.1,9168,8954,20192222,사일런스,2019-07-17,5,32,OLD,5,78830880,76016880,5820.3,74732880,1.8,456,1015,20190717
14,9960204,-50.6,7886,-8064,20183782,기생충,2019-05-30,6,-1,OLD,6,84874536275,50931020,-51.5,-53991710,1.2,195,317,20190717
15,133241,-49.5,5101,-4990,20185986,진범,2019-07-10,7,-1,OLD,7,1135239200,39893500,-51.1,-41649000,1.0,176,403,20190717
16,263920,-76.4,4610,-14898,20185353,기방도령,2019-07-10,8,-4,OLD,8,2155657970,34418660,-77.3,-117431430,0.8,232,344,20190717
17,61564,-67.6,2295,-4795,20192151,미드소마,2019-07-11,9,-2,OLD,9,565386380,19706720,-68,-41938340,0.5,125,142,20190717
18,467734,-52.6,1727,-1919,20199951,애나벨 집으로,2019-06-26,10,-1,OLD,10,3879119870,11843020,-60.2,-17917920,0.3,55,84,20190717
19,9464313,-8.6,78149,-7399,20183867,알라딘,2019-05-23,2,0,OLD,2,80623422949,638052280,-7.7,-53574950,18.6,706,2659,20190710
20,66655,307.7,47391,35766,20185353,기방도령,2019-07-10,3,3,OLD,3,501158370,373257370,517.6,312818370,10.9,625,2631,20190710
21,2883069,-17.9,30332,-6613,20184047,토이 스토리 4,2019-06-20,4,-1,OLD,4,24459119480,242280220,-18.1,-53698680,7.1,621,1417,20190710
22,9840114,-22.3,18103,-5184,20183782,기생충,2019-05-30,5,-1,OLD,5,83991467755,130538910,-24.2,-41632960,3.8,383,798,20190710
23,17747,100,15307,15307,20185986,진범,2019-07-10,6,0,NEW,6,142182400,121532400,100,121532400,3.5,188,915,20190710
24,888685,-46.4,7069,-6124,20196655,존 윅 3: 파라벨룸,2019-06-26,7,-2,OLD,7,7584714272,58871380,-45.9,-49964370,1.7,257,448,20190710
25,424184,-44.8,6082,-4946,20199951,애나벨 집으로,2019-06-26,8,-1,OLD,8,3517832610,48485180,-44.1,-38227580,1.4,157,270,20190710
26,235278,35.7,2947,776,20190273,천로역정: 천국을 찾아서,2019-06-13,9,0,OLD,9,1776661230,17580020,18.1,2690240,0.5,69,86,20190710
27,2458,305.1,1665,1254,20198323,레드슈즈,2019-07-25,10,9,OLD,10,21825000,15605000,299.1,11695000,0.5,7,8,20190710
28,8535625,10.1,79742,7332,20183867,알라딘,2019-05-23,2,0,OLD,2,72766236769,644215680,9.4,55161440,11.1,691,2450,20190703
29,2394219,21.9,43609,7848,20184047,토이 스토리 4,2019-06-20,3,0,OLD,3,20430030450,345932850,19.9,57465140,5.9,707,1782,20190703
30,9663827,-3.2,22294,-744,20183782,기생충,2019-05-30,4,0,OLD,4,82548303105,178241150,-2.7,-4876580,3.1,464,972,20190703
31,770203,-7.7,20128,-1675,20196655,존 윅 3: 파라벨룸,2019-06-26,5,0,OLD,5,6556223642,164689100,-7.7,-13745540,2.8,517,1261,20190703
32,335324,3.2,10337,316,20199951,애나벨 집으로,2019-06-26,6,0,OLD,6,2803681700,82427330,-0.7,-589700,1.4,253,396,20190703
33,1057059,-4.5,5112,-239,20198453,롱 리브 더 킹: 목포 영웅,2019-06-19,7,0,OLD,7,8939091570,38419820,-6.5,-2667860,0.7,226,376,20190703
34,15500,130.8,3000,1700,20192591,BIFAN2019 판타스틱 단편 걸작선 1, ,8,3,OLD,8,93000000,18000000,130.8,10200000,0.3,5,14,20190703
35,207230,29.6,2609,596,20190273,천로역정: 천국을 찾아서,2019-06-13,9,0,OLD,9,1575074060,17676420,20.2,2970420,0.3,66,84,20190703
36,194522,-61.6,1281,-2056,20182585,비스트,2019-06-26,10,-2,OLD,10,1538778300,10170020,-61.5,-16212730,0.2,125,161,20190703
37,1471509,83,163686,74252,20184047,토이 스토리 4,2019-06-20,2,0,OLD,2,12487442050,984989920,31.5,235715650,19.9,894,3354,20190626
38,206271,61626.2,132094,131880,20196655,존 윅 3: 파라벨룸,2019-06-26,3,28,OLD,3,1549967232,849163060,43989.5,847237060,17.2,743,2463,20190626
39,78559,40128.9,78044,77850,20199951,애나벨 집으로,2019-06-26,4,30,OLD,4,514247940,510093940,35923.6,508677940,10.3,653,1966,20190626
40,9303870,8.6,71362,5637,20183782,기생충,2019-05-30,5,-2,OLD,5,79483620345,444699590,-14.4,-74864320,9.0,604,1441,20190626
41,62757,6625.3,58443,57574,20182585,비스트,2019-06-26,6,7,OLD,6,397970190,358848190,4320.9,350731190,7.3,737,2455,20190626
42,856681,-10.2,51974,-5877,20198453,롱 리브 더 킹: 목포 영웅,2019-06-19,7,-3,OLD,7,7236023150,317710350,-32.2,-150962130,6.4,627,1708,20190626
43,13462,1143,8639,7944,20192022,마담 싸이코,2019-06-26,8,8,OLD,8,93166500,54619500,944,49387500,1.1,197,644,20190626
44,160514,-10.8,4733,-574,20190273,천로역정: 천국을 찾아서,2019-06-13,9,-3,OLD,9,1225645110,29901340,-24,-9465820,0.6,112,131,20190626
45,834147,-30.1,4459,-1923,20196657,맨 인 블랙: 인터내셔널,2019-06-12,10,-5,OLD,10,7326015120,24137300,-52.9,-27136540,0.5,96,106,20190626
46,134610,14164.3,117538,116714,20198453,롱 리브 더 킹: 목포 영웅,2019-06-19,2,12,OLD,2,1083230120,950490120,15330,944330120,29.2,965,4808,20190619
47,8643878,-8.5,92169,-8531,20183782,기생충,2019-05-30,3,-1,OLD,3,73976365195,742575980,-7.7,-61673690,22.8,969,4159,20190619
48,746052,-34,26084,-13439,20196657,맨 인 블랙: 인터내셔널,2019-06-12,4,-1,OLD,4,6589642930,214646530,-35.1,-115949530,6.6,671,2371,20190619
49,100247,-31.8,6017,-2803,20190273,천로역정: 천국을 찾아서,2019-06-13,5,-1,OLD,5,770204060,43533560,-33.4,-21831810,1.3,262,354,20190619
50,24912,-21.4,2163,-589,20190466,세상을 바꾼 변호인,2019-06-13,6,2,OLD,6,198056290,16018010,-22.6,-4684720,0.5,123,197,20190619
51,857562,-57.5,2143,-2901,20182387,엑스맨: 다크 피닉스,2019-06-05,7,-2,OLD,7,7606061280,16382370,-58.8,-23339400,0.5,157,246,20190619
52,149037,-16.1,2076,-397,19880001,이웃집 토토로,2001-07-28,8,1,OLD,8,1220881670,16411980,-16.6,-3272090,0.5,146,197,20190619
53,39503,-44,2036,-1598,20191401,업사이드,2019-06-13,9,-3,OLD,9,334713900,15553000,-45,-12720900,0.5,137,252,20190619
54,3769,665.4,1638,1424,20196655,존 윅 3: 파라벨룸,2019-06-26,10,17,OLD,10,33177000,13443000,947,12159000,0.4,9,9,20190619
55,118343,3568.9,115203,112063,20196657,맨 인 블랙: 인터내셔널,2019-06-12,2,4,OLD,2,1008037390,971377390,2549.7,934717390,29.9,1151,5626,20190612
56,4215806,-1.9,102436,-1992,20183867,알라딘,2019-05-23,3,-1,OLD,3,35580744139,841904820,-4,-34733920,25.9,973,3849,20190612
57,804755,-54.1,11453,-13514,20182387,엑스맨: 다크 피닉스,2019-06-05,4,-1,OLD,4,7164502870,91928980,-55.6,-115077210,2.8,487,1235,20190612
58,114274,-31,3429,-1537,19880001,이웃집 토토로,2001-07-28,5,0,OLD,5,934285870,26854630,-30,-11524040,0.8,260,365,20190612
59,90913,-70.6,2408,-5773,20198291,로켓맨,2019-06-05,6,-2,OLD,6,781728913,19741890,-70.4,-47046300,0.6,176,284,20190612
